Sigla,Código,Estado,homens_2012,mulheres_2012,homens_2026,mulheres_2026,horas_domesticas
AC,12,Acre,45.3,54.7,53.2,46.8,13.60690337671369
AL,27,Alagoas,44.7,55.3,50.7,49.3,20.217129217862883
AM,13,Amazonas,47.5,52.5,46.8,53.2,16.807290275773322
AP,16,Amapá,48.1,51.9,51.1,48.9,13.586655516785198
BA,29,Bahia,43.8,56.2,44.7,55.3,17.849775846054133
CE,23,Ceará,51.1,48.9,52.7,47.3,19.499293202723454
DF,53,Distrito Federal,41.0,59.0,47.9,52.1,15.096351385206958
ES,32,Espírito Santo,46.4,53.6,47.5,52.5,17.111106290014998
GO,52,Goiás,41.0,59.0,47.5,52.5,15.186470906303967
MA,21,Maranhão,47.2,52.8,49.1,50.9,16.669613629249437
MG,31,Minas Gerais,43.1,56.9,48.6,51.4,17.502140657103446
MS,50,Mato Grosso do Sul,47.2,52.8,45.3,54.7,15.30978326174933
MT,51,Mato Grosso,44.1,55.9,42.8,57.2,14.239988796112216
PA,15,Pará,43.2,56.8,48.3,51.7,16.474267546123745
PB,25,Paraíba,44.4,55.6,48.9,51.1,18.920816236791723
PE,26,Pernambuco,43.9,56.1,48.7,51.3,19.306249435369693
PI,22,Piauí,51.2,48.8,55.1,44.9,17.96036585313155
PR,41,Paraná,40.3,59.7,46.3,53.7,15.390121730266973
RJ,33,Rio de Janeiro,44.2,55.8,45.4,54.6,16.716262536343233
RN,24,Rio Grande do Norte,51.0,49.0,48.2,51.8,18.307739543439787
RO,11,Rondônia,43.4,56.6,33.0,67.0,17.01416153245271
RR,14,Roraima,41.8,58.2,43.4,56.6,13.639257287604108
RS,43,Rio Grande do Sul,42.8,57.2,47.4,52.6,15.356708913908161
SC,42,Santa Catarina,42.7,57.3,44.6,55.4,16.039355202256342
SE,28,Sergipe,46.5,53.5,40.3,59.7,18.82654148291451
SP,35,São Paulo,45.4,54.6,46.2,53.8,17.071295479298144
TO,17,Tocantins,55.3,44.7,46.2,53.8,15.815780560210031
